"범죄별(1)","범죄별(2)",범행연령별(1),범행연령별(2),2018,2019,2020,2021
"합계","소계",계,소계,1749459,1754808,1638387,1359952
"합계","소계",소년,소계,66142,66247,64480,54017
"합계","소계",소년,14세,8321,9053,9124,8091
"합계","소계",소년,15세,11595,11730,11956,10301
"합계","소계",소년,16세,13306,13548,13578,11594
"합계","소계",소년,17세,15513,14338,13725,11211
"합계","소계",소년,18세,17407,17578,16097,12820
"합계","소계",성인,소계,1637944,1657252,1532005,1280427
"합계","소계",성인,19세,19414,20511,19858,15060
"합계","소계",성인,20세,18017,18351,19460,16031
"합계","소계",성인,21세,18463,19579,19532,17735
"합계","소계",성인,22세,22938,22538,21748,18948
"합계","소계",성인,23세,25347,25012,23647,19935
"합계","소계",성인,24세,26865,26398,24988,21426
"합계","소계",성인,25세,29421,28007,25621,22757
"합계","소계",성인,26~30세,133269,137049,129654,113807
"합계","소계",성인,31~35세,140005,131076,116195,98260
"합계","소계",성인,36~40세,168897,169713,151650,122090
"합계","소계",성인,41~45세,180180,172082,151885,126475
"합계","소계",성인,46~50세,220190,216817,190437,150503
"합계","소계",성인,51~55세,212241,210138,195650,158189
"합계","소계",성인,56~60세,195107,203731,185680,148081
"합계","소계",성인,61~70세,173427,193466,192688,172000
"합계","소계",성인,71세이상,54163,62784,63312,59130
"형법범","소계",계,소계,963276,990685,943415,740929
"형법범","소계",소년,소계,54205,54497,50969,42388
"형법범","소계",소년,14세,7713,8322,8102,7196
"형법범","소계",소년,15세,10233,10399,10149,8781
"형법범","소계",소년,16세,10790,11105,10576,8951
"형법범","소계",소년,17세,12070,11090,10127,8079
"형법범","소계",소년,18세,13399,13581,12015,9381
"형법범","소계",성인,소계,878917,914549,863260,681476
"형법범","소계",성인,19세,14557,15228,14533,10485
"형법범","소계",성인,20세,13222,13523,14151,11048
"형법범","소계",성인,21세,12948,13923,13581,11590
"형법범","소계",성인,22세,15047,14995,14546,11901
"형법범","소계",성인,23세,15544,15538,14931,11960
"형법범","소계",성인,24세,15488,15568,15330,12483
"형법범","소계",성인,25세,16019,15824,15357,12839
"형법범","소계",성인,26~30세,66270,70761,71191,59220
"형법범","소계",성인,31~35세,71045,68368,61828,48651
"형법범","소계",성인,36~40세,87955,91713,83396,61193
"형법범","소계",성인,41~45세,94941,93812,83737,63814
"형법범","소계",성인,46~50세,116801,118839,105999,77652
"형법범","소계",성인,51~55세,113489,115104,109020,82848
"형법범","소계",성인,56~60세,104058,111221,103033,78114
"형법범","소계",성인,61~70세,90717,103992,105772,92019
"형법범","소계",성인,71세이상,30816,36140,36855,35659
"형법범","강력범죄(흉악)",계,소계,36641,37390,35461,34103
"형법범","강력범죄(흉악)",소년,소계,3509,3665,3134,3606
"형법범","강력범죄(흉악)",소년,14세,473,487,411,628
"형법범","강력범죄(흉악)",소년,15세,635,654,602,656
"형법범","강력범죄(흉악)",소년,16세,704,733,647,741
"형법범","강력범죄(흉악)",소년,17세,814,839,669,781
"형법범","강력범죄(흉악)",소년,18세,883,952,805,800
"형법범","강력범죄(흉악)",성인,소계,32501,33261,31733,30222
"형법범","강력범죄(흉악)",성인,19세,822,949,748,699
"형법범","강력범죄(흉악)",성인,20세,645,715,669,672
"형법범","강력범죄(흉악)",성인,21세,739,746,686,763
"형법범","강력범죄(흉악)",성인,22세,849,919,788,967
"형법범","강력범죄(흉악)",성인,23세,934,911,828,925
"형법범","강력범죄(흉악)",성인,24세,1036,1071,1028,991
"형법범","강력범죄(흉악)",성인,25세,1101,1015,1049,1098
"형법범","강력범죄(흉악)",성인,26~30세,4149,4387,4387,4657
"형법범","강력범죄(흉악)",성인,31~35세,3377,3406,3187,3239
"형법범","강력범죄(흉악)",성인,36~40세,3392,3482,3373,2975
"형법범","강력범죄(흉악)",성인,41~45세,3105,2942,2816,2483
"형법범","강력범죄(흉악)",성인,46~50세,3411,3313,3020,2648
"형법범","강력범죄(흉악)",성인,51~55세,2999,2990,2934,2444
"형법범","강력범죄(흉악)",성인,56~60세,2661,2665,2497,2196
"형법범","강력범죄(흉악)",성인,61~70세,2318,2617,2702,2382
"형법범","강력범죄(흉악)",성인,71세이상,963,1133,1021,1083
"형법범","강력범죄(폭력)",계,소계,317876,312669,279976,232001
"형법범","강력범죄(폭력)",소년,소계,19742,18622,14744,13614
"형법범","강력범죄(폭력)",소년,14세,2404,2345,1837,1866
"형법범","강력범죄(폭력)",소년,15세,3368,3326,2558,2487
"형법범","강력범죄(폭력)",소년,16세,3509,3392,2775,2676
"형법범","강력범죄(폭력)",소년,17세,4438,3861,3012,2630
"형법범","강력범죄(폭력)",소년,18세,6023,5698,4562,3955
"형법범","강력범죄(폭력)",성인,소계,295031,291490,262617,216580
"형법범","강력범죄(폭력)",성인,19세,6677,6261,5374,3892
"형법범","강력범죄(폭력)",성인,20세,5201,5115,4611,3568
"형법범","강력범죄(폭력)",성인,21세,4930,5146,4762,3879
"형법범","강력범죄(폭력)",성인,22세,6077,5627,5017,3931
"형법범","강력범죄(폭력)",성인,23세,5992,5836,5040,3921
"형법범","강력범죄(폭력)",성인,24세,6030,5663,4945,3786
"형법범","강력범죄(폭력)",성인,25세,5992,5692,4859,3989
"형법범","강력범죄(폭력)",성인,26~30세,24364,24366,22173,18589
"형법범","강력범죄(폭력)",성인,31~35세,25988,23776,20011,16185
"형법범","강력범죄(폭력)",성인,36~40세,31703,31580,27750,21949
"형법범","강력범죄(폭력)",성인,41~45세,32239,30882,26913,22240
"형법범","강력범죄(폭력)",성인,46~50세,38155,37392,32695,25773
"형법범","강력범죄(폭력)",성인,51~55세,35849,34406,32031,26382
"형법범","강력범죄(폭력)",성인,56~60세,31426,31958,29188,23605
"형법범","강력범죄(폭력)",성인,61~70세,26126,28534,28239,26202
"형법범","강력범죄(폭력)",성인,71세이상,8282,9256,9009,8689
"형법범","위조범죄",계,소계,18849,19857,18292,13455
"형법범","위조범죄",소년,소계,1511,1350,1277,667
"형법범","위조범죄",소년,14세,34,20,30,33
"형법범","위조범죄",소년,15세,138,119,115,81
"형법범","위조범죄",소년,16세,261,195,230,153
"형법범","위조범죄",소년,17세,559,491,445,231
"형법범","위조범죄",소년,18세,519,525,457,169
"형법범","위조범죄",성인,소계,15621,17275,15168,11508
"형법범","위조범죄",성인,19세,138,136,118,72
