"시도명(1)","시군구(1)","시점","레벨01(1)",소계,경형,소형,중형,대형
"부산","금정구","2018.01","계",8115,380,2402,5017,316
"부산","금정구","2018.02","계",8117,377,2395,5029,316
"부산","금정구","2018.03","계",8102,371,2384,5034,313
"부산","금정구","2018.04","계",8112,366,2375,5050,321
"부산","금정구","2018.05","계",8130,357,2371,5073,329
"부산","금정구","2018.06","계",8145,351,2373,5091,330
"부산","금정구","2018.07","계",8165,341,2381,5113,330
"부산","금정구","2018.08","계",8165,341,2381,5113,330
"부산","금정구","2018.09","계",8208,338,2383,5151,336
"부산","금정구","2018.10","계",8197,334,2368,5157,338
"부산","금정구","2018.11","계",8184,331,2367,5151,335
"부산","금정구","2018.12","계",8186,331,2366,5146,343
"부산","금정구","2019.01","계",8193,327,2365,5149,352
"부산","금정구","2019.02","계",8188,326,2362,5146,354
"부산","금정구","2019.03","계",8219,331,2357,5179,352
"부산","금정구","2019.04","계",8250,331,2359,5203,357
"부산","금정구","2019.05","계",8249,342,2349,5188,370
"부산","금정구","2019.06","계",8275,356,2341,5189,389
"부산","금정구","2019.07","계",8324,366,2344,5224,390
"부산","금정구","2019.08","계",8355,371,2335,5255,394
"부산","금정구","2019.09","계",8368,371,2339,5263,395
"부산","금정구","2019.10","계",8358,381,2327,5265,385
"부산","금정구","2019.11","계",8358,381,2315,5272,390
"부산","금정구","2019.12","계",8359,382,2306,5279,392
"부산","금정구","2020.01","계",8325,377,2299,5256,393
"부산","금정구","2020.02","계",8338,374,2307,5253,404
"부산","금정구","2020.03","계",8326,378,2307,5248,393
"부산","금정구","2020.04","계",8357,397,2291,5271,398
"부산","금정구","2020.05","계",8396,402,2279,5295,420
"부산","금정구","2020.06","계",8406,391,2281,5321,413
"부산","금정구","2020.07","계",8429,400,2278,5339,412
"부산","금정구","2020.08","계",8421,401,2280,5331,409
"부산","금정구","2020.09","계",8471,396,2285,5373,417
"부산","금정구","2020.10","계",8450,392,2279,5359,420
"부산","금정구","2020.11","계",8419,387,2275,5337,420
"부산","금정구","2020.12","계",8409,383,2279,5319,428
"부산","금정구","2021.01","계",8393,382,2271,5315,425
"부산","금정구","2021.02","계",8398,383,2271,5310,434
"부산","금정구","2021.03","계",8424,385,2262,5345,432
"부산","금정구","2021.04","계",8475,398,2280,5345,452
"부산","금정구","2021.05","계",8499,392,2284,5370,453
"부산","금정구","2021.06","계",8499,392,2284,5370,453
"부산","금정구","2021.07","계",8573,387,2307,5404,475
"부산","금정구","2021.08","계",8647,397,2326,5439,485
"부산","금정구","2021.09","계",8247,398,2068,5284,497
"부산","금정구","2021.10","계",8278,393,2063,5311,511
"부산","금정구","2021.11","계",8179,391,2017,5253,518
"부산","금정구","2021.12","계",8147,385,2005,5238,519
"부산","금정구","2022.01","계",8134,384,2000,5228,522
"부산","금정구","2022.02","계",8088,383,1996,5193,516
"부산","금정구","2022.03","계",8123,377,1999,5212,535
"부산","금정구","2022.04","계",8171,371,2034,5220,546
"부산","금정구","2022.05","계",8187,371,2042,5214,560
"부산","금정구","2022.06","계",8203,372,2051,5211,569
"부산","금정구","2022.07","계",8234,373,2061,5221,579
"부산","금정구","2022.08","계",8216,368,2057,5205,586
"부산","금정구","2022.09","계",8219,361,2065,5210,583
"부산","금정구","2022.10","계",8208,354,2077,5201,576
"부산","금정구","2022.11","계",8193,355,2071,5190,577
"부산","금정구","2022.12","계",8180,353,2076,5181,570
"부산","금정구","2023.01","계",8175,350,2072,5178,575
"부산","기장군","2018.01","계",4976,266,1591,2905,214
"부산","기장군","2018.02","계",4994,272,1588,2915,219
"부산","기장군","2018.03","계",5014,274,1587,2925,228
"부산","기장군","2018.04","계",5022,266,1591,2925,240
"부산","기장군","2018.05","계",5004,261,1581,2924,238
"부산","기장군","2018.06","계",5014,258,1587,2932,237
"부산","기장군","2018.07","계",5021,261,1584,2932,244
"부산","기장군","2018.08","계",5021,261,1584,2932,244
"부산","기장군","2018.09","계",5046,258,1581,2949,258
"부산","기장군","2018.10","계",5056,260,1586,2947,263
"부산","기장군","2018.11","계",5062,269,1579,2950,264
"부산","기장군","2018.12","계",5052,267,1578,2938,269
"부산","기장군","2019.01","계",5054,265,1577,2942,270
"부산","기장군","2019.02","계",5068,263,1581,2949,275
"부산","기장군","2019.03","계",5098,276,1587,2947,288
"부산","기장군","2019.04","계",5113,276,1594,2950,293
"부산","기장군","2019.05","계",5136,274,1594,2978,290
"부산","기장군","2019.06","계",5170,278,1595,3000,297
"부산","기장군","2019.07","계",5205,286,1607,3007,305
"부산","기장군","2019.08","계",5220,287,1603,3017,313
"부산","기장군","2019.09","계",5249,293,1601,3031,324
"부산","기장군","2019.10","계",5254,289,1597,3049,319
"부산","기장군","2019.11","계",5259,285,1601,3052,321
"부산","기장군","2019.12","계",5269,277,1595,3068,329
"부산","기장군","2020.01","계",5262,274,1589,3057,342
"부산","기장군","2020.02","계",5281,268,1596,3074,343
"부산","기장군","2020.03","계",5342,281,1599,3117,345
"부산","기장군","2020.04","계",5375,296,1597,3135,347
"부산","기장군","2020.05","계",5436,318,1602,3146,370
"부산","기장군","2020.06","계",5482,310,1604,3177,391
"부산","기장군","2020.07","계",5496,307,1603,3193,393
"부산","기장군","2020.08","계",5579,310,1615,3244,410
"부산","기장군","2020.09","계",5623,309,1608,3293,413
"부산","기장군","2020.10","계",5623,304,1605,3296,418
"부산","기장군","2020.11","계",5630,300,1619,3292,419
"부산","기장군","2020.12","계",5680,298,1634,3320,428
"부산","기장군","2021.01","계",5738,301,1637,3369,431
"부산","기장군","2021.02","계",5733,296,1636,3365,436
"부산","기장군","2021.03","계",5753,296,1640,3392,425
"부산","기장군","2021.04","계",5808,294,1651,3419,444
"부산","기장군","2021.05","계",5844,296,1659,3428,461
"부산","기장군","2021.06","계",5844,296,1659,3428,461
"부산","기장군","2021.07","계",5857,286,1660,3445,466
"부산","기장군","2021.08","계",5838,291,1607,3463,477
"부산","기장군","2021.09","계",5831,293,1579,3468,491
"부산","기장군","2021.10","계",5702,292,1492,3416,502
"부산","기장군","2021.11","계",5534,294,1395,3335,510
"부산","기장군","2021.12","계",5568,291,1403,3351,523
"부산","기장군","2022.01","계",5574,286,1400,3363,525
"부산","기장군","2022.02","계",5590,288,1407,3374,521
"부산","기장군","2022.03","계",5611,288,1406,3393,524
"부산","기장군","2022.04","계",5640,284,1420,3416,520
"부산","기장군","2022.05","계",5678,290,1426,3428,534
"부산","기장군","2022.06","계",5729,293,1436,3453,547
"부산","기장군","2022.07","계",5763,295,1437,3470,561
"부산","기장군","2022.08","계",5790,297,1448,3476,569
"부산","기장군","2022.09","계",5816,298,1459,3484,575
"부산","기장군","2022.10","계",5842,302,1464,3489,587
"부산","기장군","2022.11","계",5861,307,1470,3472,612
"부산","기장군","2022.12","계",5874,315,1470,3470,619
"부산","기장군","2023.01","계",5886,311,1473,3475,627
"부산","남구","2018.01","계",10535,451,2932,6679,473
"부산","남구","2018.02","계",10496,452,2921,6646,477
"부산","남구","2018.03","계",10532,454,2916,6665,497
"부산","남구","2018.04","계",10535,449,2918,6665,503
"부산","남구","2018.05","계",10557,456,2914,6688,499
"부산","남구","2018.06","계",10574,449,2916,6705,504
"부산","남구","2018.07","계",10589,454,2899,6708,528
"부산","남구","2018.08","계",10589,454,2899,6708,528
"부산","남구","2018.09","계",10688,465,2886,6790,547
"부산","남구","2018.10","계",10736,470,2881,6821,564
"부산","남구","2018.11","계",10692,472,2870,6779,571
"부산","남구","2018.12","계",10670,469,2857,6770,574
"부산","남구","2019.01","계",10655,466,2857,6761,571
"부산","남구","2019.02","계",10617,457,2849,6729,582
"부산","남구","2019.03","계",10623,458,2839,6746,580
"부산","남구","2019.04","계",10622,451,2825,6762,584
"부산","남구","2019.05","계",10626,449,2822,6768,587
"부산","남구","2019.06","계",10642,449,2809,6790,594
"부산","남구","2019.07","계",10664,454,2811,6797,602
"부산","남구","2019.08","계",10702,467,2810,6817,608
"부산","남구","2019.09","계",10718,468,2815,6811,624
"부산","남구","2019.10","계",10743,474,2807,6828,634
"부산","남구","2019.11","계",10745,479,2798,6826,642
"부산","남구","2019.12","계",10737,481,2801,6805,650
"부산","남구","2020.01","계",10721,481,2794,6793,653
"부산","남구","2020.02","계",10683,481,2783,6777,642
"부산","남구","2020.03","계",10765,494,2775,6834,662
"부산","남구","2020.04","계",10791,510,2765,6842,674
"부산","남구","2020.05","계",10837,520,2760,6875,682
"부산","남구","2020.06","계",10870,522,2743,6910,695
"부산","남구","2020.07","계",10894,534,2730,6924,706
"부산","남구","2020.08","계",10886,528,2724,6929,705
"부산","남구","2020.09","계",10870,522,2705,6940,703
"부산","남구","2020.10","계",10935,522,2701,6979,733
"부산","남구","2020.11","계",10926,510,2688,6990,738
"부산","남구","2020.12","계",10903,512,2674,6987,730
"부산","남구","2021.01","계",10919,510,2666,7003,740
"부산","남구","2021.02","계",10902,507,2670,6979,746
"부산","남구","2021.03","계",10888,505,2668,6968,747
"부산","남구","2021.04","계",10962,505,2670,7016,771
"부산","남구","2021.05","계",10995,510,2684,7017,784
"부산","남구","2021.06","계",10995,510,2684,7017,784
"부산","남구","2021.07","계",11017,487,2675,7043,812
"부산","남구","2021.08","계",11069,490,2690,7068,821
"부산","남구","2021.09","계",10673,488,2448,6913,824
"부산","남구","2021.10","계",10735,496,2447,6959,833
"부산","남구","2021.11","계",10630,497,2390,6911,832
"부산","남구","2021.12","계",10617,495,2388,6900,834
"부산","남구","2022.01","계",10577,491,2385,6871,830
"부산","남구","2022.02","계",10564,488,2380,6842,854
"부산","남구","2022.03","계",10585,481,2377,6866,861
"부산","남구","2022.04","계",10619,484,2381,6888,866
"부산","남구","2022.05","계",10679,474,2389,6940,876
"부산","남구","2022.06","계",10699,464,2387,6956,892
"부산","남구","2022.07","계",10743,463,2393,6985,902
"부산","남구","2022.08","계",10716,453,2387,6970,906
"부산","남구","2022.09","계",10743,448,2394,6987,914
"부산","남구","2022.10","계",10731,444,2400,6953,934
"부산","남구","2022.11","계",10747,446,2403,6961,937
"부산","남구","2022.12","계",10730,451,2400,6940,939
"부산","남구","2023.01","계",10764,451,2408,6964,941
"부산","동구","2018.01","계",4271,242,1058,2816,155
"부산","동구","2018.02","계",4257,237,1057,2814,149
"부산","동구","2018.03","계",4235,230,1054,2800,151
"부산","동구","2018.04","계",4248,229,1058,2811,150
"부산","동구","2018.05","계",4246,227,1061,2802,156
"부산","동구","2018.06","계",4233,226,1048,2803,156
"부산","동구","2018.07","계",4237,222,1044,2807,164
"부산","동구","2018.08","계",4237,222,1044,2807,164
"부산","동구","2018.09","계",4241,219,1037,2818,167
"부산","동구","2018.10","계",4238,213,1035,2820,170
"부산","동구","2018.11","계",4268,232,1037,2825,174
"부산","동구","2018.12","계",4281,267,1028,2820,166
"부산","동구","2019.01","계",4282,261,1029,2821,171
"부산","동구","2019.02","계",4269,261,1028,2805,175
"부산","동구","2019.03","계",4267,261,1026,2804,176
"부산","동구","2019.04","계",4248,261,1019,2786,182
"부산","동구","2019.05","계",4272,258,1018,2811,185
"부산","동구","2019.06","계",4291,258,1012,2838,183
"부산","동구","2019.07","계",4307,263,1010,2849,185
"부산","동구","2019.08","계",4359,265,1014,2888,192
"부산","동구","2019.09","계",4375,261,1011,2903,200
"부산","동구","2019.10","계",4386,262,1010,2906,208
"부산","동구","2019.11","계",4386,260,1010,2903,213
"부산","동구","2019.12","계",4371,253,1002,2905,211
"부산","동구","2020.01","계",4364,246,997,2906,215
"부산","동구","2020.02","계",4360,242,994,2907,217
"부산","동구","2020.03","계",4372,242,1001,2912,217
"부산","동구","2020.04","계",4413,260,1002,2919,232
"부산","동구","2020.05","계",4446,269,1005,2936,236
"부산","동구","2020.06","계",4445,269,1005,2933,238
"부산","동구","2020.07","계",4452,268,1005,2940,239
"부산","동구","2020.08","계",4454,260,1006,2956,232
"부산","동구","2020.09","계",4448,242,1003,2967,236
"부산","동구","2020.10","계",4451,238,995,2979,239
"부산","동구","2020.11","계",4443,239,1001,2962,241
"부산","동구","2020.12","계",4445,239,997,2968,241
"부산","동구","2021.01","계",4441,236,994,2965,246
"부산","동구","2021.02","계",4428,234,990,2957,247
"부산","동구","2021.03","계",4429,234,988,2961,246
"부산","동구","2021.04","계",4454,227,999,2974,254
"부산","동구","2021.05","계",4468,225,1000,2991,252
"부산","동구","2021.06","계",4468,225,1000,2991,252
"부산","동구","2021.07","계",4476,216,999,2989,272
"부산","동구","2021.08","계",4519,219,1014,2998,288
"부산","동구","2021.09","계",4544,224,1017,3021,282
"부산","동구","2021.10","계",4563,222,1011,3040,290
"부산","동구","2021.11","계",4489,222,961,3013,293
"부산","동구","2021.12","계",4477,223,954,3014,286
"부산","동구","2022.01","계",4472,213,950,3012,297
"부산","동구","2022.02","계",4487,216,950,3023,298
"부산","동구","2022.03","계",4492,217,955,3020,300
"부산","동구","2022.04","계",4504,206,962,3029,307
"부산","동구","2022.05","계",4515,203,965,3039,308
"부산","동구","2022.06","계",4496,199,959,3033,305
"부산","동구","2022.07","계",4513,200,956,3041,316
"부산","동구","2022.08","계",4510,201,957,3042,310
"부산","동구","2022.09","계",4511,199,966,3042,304
"부산","동구","2022.10","계",4509,190,967,3040,312
"부산","동구","2022.11","계",4498,188,969,3024,317
"부산","동구","2022.12","계",4493,188,966,3021,318
"부산","동구","2023.01","계",4478,185,963,3009,321
"부산","동래구","2018.01","계",8357,417,2542,5063,335
"부산","동래구","2018.02","계",8352,412,2533,5068,339
"부산","동래구","2018.03","계",8357,409,2524,5080,344
"부산","동래구","2018.04","계",8374,408,2530,5086,350
"부산","동래구","2018.05","계",8401,400,2525,5121,355
"부산","동래구","2018.06","계",8412,397,2515,5122,378
"부산","동래구","2018.07","계",8426,390,2509,5139,388
"부산","동래구","2018.08","계",8426,390,2509,5139,388
"부산","동래구","2018.09","계",8424,390,2492,5141,401
"부산","동래구","2018.10","계",8421,396,2474,5140,411
"부산","동래구","2018.11","계",8421,399,2461,5145,416
"부산","동래구","2018.12","계",8402,398,2451,5136,417
"부산","동래구","2019.01","계",8362,396,2441,5105,420
"부산","동래구","2019.02","계",8350,399,2441,5090,420
"부산","동래구","2019.03","계",8373,403,2426,5112,432
"부산","동래구","2019.04","계",8406,403,2421,5138,444
"부산","동래구","2019.05","계",8430,409,2423,5144,454
"부산","동래구","2019.06","계",8447,400,2425,5156,466
"부산","동래구","2019.07","계",8497,407,2420,5196,474
"부산","동래구","2019.08","계",8576,432,2425,5251,468
"부산","동래구","2019.09","계",8580,433,2411,5256,480
"부산","동래구","2019.10","계",8593,444,2410,5244,495
"부산","동래구","2019.11","계",8613,443,2414,5255,501
"부산","동래구","2019.12","계",8618,434,2410,5265,509
"부산","동래구","2020.01","계",8606,429,2410,5258,509
"부산","동래구","2020.02","계",8603,425,2400,5262,516
"부산","동래구","2020.03","계",8632,423,2399,5288,522
"부산","동래구","2020.04","계",8672,443,2386,5308,535
"부산","동래구","2020.05","계",8739,449,2393,5343,554
"부산","동래구","2020.06","계",8751,450,2395,5350,556
"부산","동래구","2020.07","계",8756,461,2382,5363,550
"부산","동래구","2020.08","계",8763,459,2379,5360,565
"부산","동래구","2020.09","계",8807,449,2374,5408,576
"부산","동래구","2020.10","계",8828,455,2371,5428,574
"부산","동래구","2020.11","계",8845,448,2361,5454,582
"부산","동래구","2020.12","계",8830,439,2356,5444,591
"부산","동래구","2021.01","계",8833,429,2365,5441,598
"부산","동래구","2021.02","계",8854,427,2362,5448,617
"부산","동래구","2021.03","계",8860,425,2353,5459,623
"부산","동래구","2021.04","계",8916,428,2374,5476,638
"부산","동래구","2021.05","계",8933,428,2368,5489,648
"부산","동래구","2021.06","계",8933,428,2368,5489,648
"부산","동래구","2021.07","계",8950,416,2374,5515,645
"부산","동래구","2021.08","계",8994,417,2393,5528,656
"부산","동래구","2021.09","계",9050,425,2409,5557,659
"부산","동래구","2021.10","계",9045,422,2405,5540,678
"부산","동래구","2021.11","계",8604,423,2103,5392,686
"부산","동래구","2021.12","계",8606,415,2103,5400,688
"부산","동래구","2022.01","계",8651,415,2098,5450,688
"부산","동래구","2022.02","계",8688,417,2094,5486,691
"부산","동래구","2022.03","계",8763,420,2089,5542,712
"부산","동래구","2022.04","계",8840,422,2092,5589,737
"부산","동래구","2022.05","계",8866,409,2097,5601,759
"부산","동래구","2022.06","계",8862,408,2084,5600,770
"부산","동래구","2022.07","계",8926,412,2091,5620,803
"부산","동래구","2022.08","계",8956,416,2097,5629,814
"부산","동래구","2022.09","계",8989,414,2108,5636,831
"부산","동래구","2022.10","계",8998,410,2115,5622,851
"부산","동래구","2022.11","계",8998,418,2119,5605,856
"부산","동래구","2022.12","계",8979,419,2130,5571,859
"부산","동래구","2023.01","계",8976,404,2133,5584,855
"부산","부산진구","2018.01","계",17280,531,6279,9865,605
"부산","부산진구","2018.02","계",17255,517,6271,9858,609
"부산","부산진구","2018.03","계",17269,521,6258,9862,628
"부산","부산진구","2018.04","계",17258,519,6233,9855,651
"부산","부산진구","2018.05","계",17196,510,6212,9826,648
"부산","부산진구","2018.06","계",17196,509,6206,9831,650
"부산","부산진구","2018.07","계",17130,514,6181,9777,658
"부산","부산진구","2018.08","계",17130,514,6181,9777,658
"부산","부산진구","2018.09","계",17145,516,6167,9800,662
"부산","부산진구","2018.10","계",17107,521,6143,9767,676
"부산","부산진구","2018.11","계",17050,519,6121,9723,687
"부산","부산진구","2018.12","계",17009,517,6117,9687,688
"부산","부산진구","2019.01","계",16985,508,6094,9691,692
"부산","부산진구","2019.02","계",16978,506,6082,9689,701
"부산","부산진구","2019.03","계",16990,508,6070,9707,705
"부산","부산진구","2019.04","계",17033,521,6053,9725,734
"부산","부산진구","2019.05","계",17074,529,6030,9765,750
"부산","부산진구","2019.06","계",17104,535,6028,9777,764
"부산","부산진구","2019.07","계",17168,550,6020,9832,766
"부산","부산진구","2019.08","계",17215,575,6016,9850,774
"부산","부산진구","2019.09","계",17268,560,6016,9913,779
"부산","부산진구","2019.10","계",17332,574,6017,9926,815
"부산","부산진구","2019.11","계",17282,575,6004,9884,819
"부산","부산진구","2019.12","계",17241,558,5984,9875,824
"부산","부산진구","2020.01","계",17239,558,5976,9874,831
"부산","부산진구","2020.02","계",17261,556,5975,9885,845
"부산","부산진구","2020.03","계",17356,554,5983,9950,869
"부산","부산진구","2020.04","계",17424,593,5961,9989,881
"부산","부산진구","2020.05","계",17468,618,5952,9999,899
"부산","부산진구","2020.06","계",17557,632,5951,10059,915
"부산","부산진구","2020.07","계",17590,618,5959,10099,914
"부산","부산진구","2020.08","계",17641,618,5944,10156,923
"부산","부산진구","2020.09","계",17683,621,5929,10180,953
"부산","부산진구","2020.10","계",17719,628,5929,10192,970
"부산","부산진구","2020.11","계",17756,629,5928,10200,999
"부산","부산진구","2020.12","계",17744,619,5931,10186,1008
"부산","부산진구","2021.01","계",17764,622,5932,10191,1019
"부산","부산진구","2021.02","계",17810,620,5928,10222,1040
"부산","부산진구","2021.03","계",17877,633,5923,10267,1054
"부산","부산진구","2021.04","계",18009,631,5958,10323,1097
"부산","부산진구","2021.05","계",18019,623,5944,10337,1115
"부산","부산진구","2021.06","계",18019,623,5944,10337,1115
"부산","부산진구","2021.07","계",18111,624,5964,10383,1140
"부산","부산진구","2021.08","계",18248,633,6003,10443,1169
"부산","부산진구","2021.09","계",15508,644,3913,9785,1166
"부산","부산진구","2021.10","계",15556,645,3905,9825,1181
"부산","부산진구","2021.11","계",15379,633,3806,9769,1171
"부산","부산진구","2021.12","계",15324,627,3808,9717,1172
"부산","부산진구","2022.01","계",15340,627,3813,9703,1197
"부산","부산진구","2022.02","계",15394,626,3817,9752,1199
"부산","부산진구","2022.03","계",15511,618,3828,9826,1239
"부산","부산진구","2022.04","계",15630,601,3871,9883,1275
"부산","부산진구","2022.05","계",15629,593,3880,9879,1277
"부산","부산진구","2022.06","계",15648,601,3866,9891,1290
"부산","부산진구","2022.07","계",15715,607,3891,9914,1303
"부산","부산진구","2022.08","계",15783,601,3890,9959,1333
"부산","부산진구","2022.09","계",15892,602,3925,10014,1351
"부산","부산진구","2022.10","계",15989,619,3924,10061,1385
"부산","부산진구","2022.11","계",16039,624,3935,10081,1399
"부산","부산진구","2022.12","계",16020,629,3935,10063,1393
"부산","부산진구","2023.01","계",16046,633,3922,10094,1397
"부산","북구","2018.01","계",8682,299,2544,5502,337
"부산","북구","2018.02","계",8680,297,2538,5504,341
"부산","북구","2018.03","계",8666,292,2528,5497,349
"부산","북구","2018.04","계",8686,293,2525,5515,353
"부산","북구","2018.05","계",8676,290,2511,5514,361
"부산","북구","2018.06","계",8678,285,2500,5525,368
"부산","북구","2018.07","계",8681,281,2496,5527,377
"부산","북구","2018.08","계",8681,281,2496,5527,377
"부산","북구","2018.09","계",8699,287,2484,5536,392
"부산","북구","2018.10","계",8705,287,2483,5536,399
"부산","북구","2018.11","계",8698,277,2482,5534,405
"부산","북구","2018.12","계",8684,281,2477,5518,408
"부산","북구","2019.01","계",8676,278,2479,5505,414
"부산","북구","2019.02","계",8653,278,2472,5482,421
"부산","북구","2019.03","계",8641,293,2461,5466,421
"부산","북구","2019.04","계",8654,300,2448,5476,430
"부산","북구","2019.05","계",8669,310,2454,5478,427
"부산","북구","2019.06","계",8696,323,2438,5493,442
"부산","북구","2019.07","계",8683,337,2431,5471,444
"부산","북구","2019.08","계",8710,364,2433,5462,451
"부산","북구","2019.09","계",8710,363,2423,5467,457
"부산","북구","2019.10","계",8710,376,2416,5449,469
"부산","북구","2019.11","계",8720,375,2421,5454,470
"부산","북구","2019.12","계",8717,374,2431,5444,468
"부산","북구","2020.01","계",8709,369,2428,5440,472
"부산","북구","2020.02","계",8694,359,2420,5434,481
"부산","북구","2020.03","계",8703,368,2416,5432,487
"부산","북구","2020.04","계",8712,386,2405,5433,488
"부산","북구","2020.05","계",8776,428,2406,5445,497
"부산","북구","2020.06","계",8808,442,2413,5447,506
"부산","북구","2020.07","계",8862,450,2415,5480,517
"부산","북구","2020.08","계",8865,440,2408,5500,517
"부산","북구","2020.09","계",8874,435,2408,5515,516
"부산","북구","2020.10","계",8886,428,2407,5529,522
"부산","북구","2020.11","계",8877,425,2401,5525,526
"부산","북구","2020.12","계",8838,423,2393,5497,525
"부산","북구","2021.01","계",8833,418,2390,5511,514
"부산","북구","2021.02","계",8825,417,2382,5512,514
"부산","북구","2021.03","계",8878,419,2379,5546,534
"부산","북구","2021.04","계",8953,425,2414,5560,554
"부산","북구","2021.05","계",8970,425,2430,5557,558
"부산","북구","2021.06","계",8970,425,2430,5557,558
"부산","북구","2021.07","계",9055,423,2434,5621,577
"부산","북구","2021.08","계",9121,425,2462,5662,572
"부산","북구","2021.09","계",9181,442,2473,5668,598
"부산","북구","2021.10","계",9221,444,2483,5677,617
"부산","북구","2021.11","계",8415,445,1994,5357,619
"부산","북구","2021.12","계",8407,448,1991,5344,624
"부산","북구","2022.01","계",8425,440,1996,5362,627
"부산","북구","2022.02","계",8433,433,2006,5361,633
"부산","북구","2022.03","계",8509,424,2012,5427,646
"부산","북구","2022.04","계",8606,419,2037,5498,652
"부산","북구","2022.05","계",8661,412,2046,5533,670
"부산","북구","2022.06","계",8665,412,2039,5541,673
"부산","북구","2022.07","계",8696,411,2041,5544,700
"부산","북구","2022.08","계",8717,416,2037,5551,713
"부산","북구","2022.09","계",8756,416,2060,5562,718
"부산","북구","2022.10","계",8772,412,2072,5575,713
"부산","북구","2022.11","계",8774,414,2071,5559,730
"부산","북구","2022.12","계",8756,417,2080,5537,722
"부산","북구","2023.01","계",8741,414,2075,5532,720
"부산","사상구","2018.01","계",10098,455,3090,6258,295
"부산","사상구","2018.02","계",10086,452,3079,6249,306
"부산","사상구","2018.03","계",10056,447,3077,6228,304
"부산","사상구","2018.04","계",10067,444,3075,6246,302
"부산","사상구","2018.05","계",10101,440,3072,6284,305
"부산","사상구","2018.06","계",10087,432,3066,6274,315
"부산","사상구","2018.07","계",10094,419,3065,6284,326
"부산","사상구","2018.08","계",10094,419,3065,6284,326
"부산","사상구","2018.09","계",10142,409,3063,6324,346
"부산","사상구","2018.10","계",10102,420,3052,6292,338
"부산","사상구","2018.11","계",10081,420,3048,6284,329
"부산","사상구","2018.12","계",10055,417,3035,6276,327
"부산","사상구","2019.01","계",10029,410,3036,6257,326
"부산","사상구","2019.02","계",10018,408,3039,6243,328
"부산","사상구","2019.03","계",10027,429,3034,6233,331
"부산","사상구","2019.04","계",10056,454,3026,6239,337
"부산","사상구","2019.05","계",10087,469,3024,6247,347
"부산","사상구","2019.06","계",10141,490,3017,6280,354
